1,1,20,5,10,heavy hard red and white can
1,17,1,25,10,a silver heavy aluminum can
1,20,1,22,25,im looking at a red and white heavy in can
1,17,10,20,1,a full red and white cylindrical can
2,2,16,15,31,small white and green container
5,5,25,22,24,empty
5,10,5,17,1,it is yellow like a pineapple
6,6,32,30,15,a tall thin spray can
7,26,7,23,14,white bottle
9,16,2,9,31,an open aluminum can
9,9,32,15,6,a hollow metal cylinder
9,9,30,32,6,metallic
9,30,2,31,9,a large white jar with a lid
10,1,20,10,17,heavy
10,1,5,22,10,the wide red cylinder
10,5,1,10,24,a halffull red cylinder with a black lid
12,12,27,14,7,nmd yellow cylinder
12,13,26,7,12,its a yellow round cylinder
12,29,27,13,12,a seal cam
13,29,14,13,23,white cylinder riblet
14,26,7,23,14,blue tubular object
14,13,12,27,14,a tall blue cylinder
14,29,14,23,7,a large blue cylinder
15,2,15,16,30,green led
15,2,15,6,30,a small green
15,2,15,16,9,a small white and green rattly bottle
15,32,16,15,6,small bottle full of pills
15,15,9,16,6,a small white cylinder with a green lid
16,2,30,31,16,a halffull silver aerosol container with an orange lid
20,17,20,10,25,this is a yellow cylindrical bottle
20,22,5,24,20,a tall wide yellow cylinder
20,17,22,25,20,a large empty yellow cylinder
22,22,17,25,24,heavy white bottle with writing on it
23,13,14,23,29,the plastic container full of beans with the red top
23,26,7,29,23,a transparent plastic bottle with brown peanuts and sided with the red cap
24,24,22,1,5,this is a yellow bottle with water filled in it
24,24,10,17,5,yellow
24,22,24,5,10,i have yellow cylinder
25,20,24,17,25,a half full green and purple plastic bottle
25,24,20,22,25,this one is screen with the purple lady
25,25,24,22,5,the full green and purple bottle
25,25,17,20,1,the green heavy cylinder
26,23,26,29,13,a small clear plastic bottle that is half full
27,27,12,26,7,the red aluminum can
27,13,29,12,27,a small red metallic tube
27,12,26,27,7,red can
27,29,14,27,23,a red can made of metal
27,7,14,27,12,it is red small and hollow
27,7,27,26,14,small red aluminum can
27,12,27,13,26,a small red cylinder
29,26,23,13,29,the object is rectangular white and soft
29,12,23,29,13,white foam rectangle
30,2,32,30,31,a medium blue cylinder with a white lid that rattles when shaken
31,9,15,16,31,a long red bottle
31,9,32,31,6,screw on cap
31,32,31,30,6,a heavy red tall bottle
31,16,31,15,30,heavy red bottle
32,30,2,6,32,a shirt yellow tub
32,16,9,31,32,is shaky yellow tub
32,32,9,2,6,noisy yellow tub
